,id,soft_voitng,my_labeling,diff
73,TEST_00073,고궁,고궁,True
74,TEST_00074,"야영장,오토캠핑장","야영장,오토캠핑장",True
75,TEST_00075,바/까페,바/까페,True
76,TEST_00076,유원지,유원지,True
77,TEST_00077,자연생태관광지,다리/대교,False
78,TEST_00078,트래킹,트래킹,True
79,TEST_00079,"야영장,오토캠핑장","야영장,오토캠핑장",True
80,TEST_00080,유스호스텔,유스호스텔,True
81,TEST_00081,문,문,True
82,TEST_00082,서양식,서양식,True
83,TEST_00083,한식,한식,True
84,TEST_00084,일반축제,일반축제,True
85,TEST_00085,"야영장,오토캠핑장","야영장,오토캠핑장",True
86,TEST_00086,이색거리,이색거리,True
87,TEST_00087,바/까페,바/까페,True
88,TEST_00088,농.산.어촌 체험,농.산.어촌 체험,True
89,TEST_00089,한식,한식,True
90,TEST_00090,공원,공원,True
91,TEST_00091,한식,한식,True
92,TEST_00092,한식,한식,True
93,TEST_00093,한옥스테이,한옥스테이,True
94,TEST_00094,서양식,서양식,True
95,TEST_00095,한식,한식,True
96,TEST_00096,이색거리,농.산.어촌 체험,False
97,TEST_00097,산,산,True
98,TEST_00098,기타행사,기타행사,True
99,TEST_00099,한식,한식,True
100,TEST_00100,한식,한식,True
101,TEST_00101,한식,한식,True
102,TEST_00102,한식,한식,True
103,TEST_00103,카약/카누,카약/카누,True
104,TEST_00104,박물관,박물관,True
105,TEST_00105,한식,한식,True
106,TEST_00106,기암괴석,산,False
107,TEST_00107,펜션,펜션,True
108,TEST_00108,한식,한식,True
109,TEST_00109,패밀리레스토랑,패밀리레스토랑,True
110,TEST_00110,한식,한식,True
111,TEST_00111,바/까페,바/까페,True
112,TEST_00112,호수,호수,True
113,TEST_00113,한식,한식,True
114,TEST_00114,전시관,전시관,True
115,TEST_00115,한식,한식,True
116,TEST_00116,자연생태관광지,자연생태관광지,True
117,TEST_00117,이색거리,이색거리,True
118,TEST_00118,전시관,전시관,True
119,TEST_00119,관광단지,관광단지,True
120,TEST_00120,사찰,사찰,True
121,TEST_00121,"야영장,오토캠핑장","야영장,오토캠핑장",True
122,TEST_00122,사찰,사찰,True
123,TEST_00123,한식,한식,True
124,TEST_00124,섬,섬,True
125,TEST_00125,박물관,박물관,True
126,TEST_00126,자동차경주,자동차경주,True
127,TEST_00127,한식,한식,True
128,TEST_00128,한식,한식,True
129,TEST_00129,한식,한식,True
130,TEST_00130,골프,골프,True
131,TEST_00131,유적지/사적지,유적지/사적지,True
132,TEST_00132,한옥스테이,한옥스테이,True
133,TEST_00133,컨벤션,컨벤션,True
134,TEST_00134,"야영장,오토캠핑장","야영장,오토캠핑장",True
135,TEST_00135,한식,한식,True
136,TEST_00136,상설시장,상설시장,True
137,TEST_00137,한식,한식,True
138,TEST_00138,일반축제,일반축제,True
139,TEST_00139,해수욕장,해수욕장,True
140,TEST_00140,한식,한식,True
141,TEST_00141,바/까페,바/까페,True
142,TEST_00142,한식,한식,True
143,TEST_00143,골프,골프,True
144,TEST_00144,모텔,모텔,True
145,TEST_00145,기념탑/기념비/전망대,기념탑/기념비/전망대,True
146,TEST_00146,한식,한식,True
147,TEST_00147,산,산,True
148,TEST_00148,공원,공원,True
149,TEST_00149,테마공원,테마공원,True
150,TEST_00150,박물관,박물관,True
151,TEST_00151,상설시장,상설시장,True
152,TEST_00152,이색거리,이색거리,True
153,TEST_00153,한식,한식,True
154,TEST_00154,농.산.어촌 체험,농.산.어촌 체험,True
155,TEST_00155,전시관,전시관,True
156,TEST_00156,유적지/사적지,유적지/사적지,True
157,TEST_00157,한식,한식,True
158,TEST_00158,공원,공원,True
159,TEST_00159,서양식,서양식,True
160,TEST_00160,다리/대교,다리/대교,True
161,TEST_00161,특산물판매점,특산물판매점,True
162,TEST_00162,자연휴양림,자연휴양림,True
163,TEST_00163,공원,공원,True
164,TEST_00164,한옥스테이,한옥스테이,True
165,TEST_00165,일반축제,일반축제,True
166,TEST_00166,바/까페,바/까페,True
167,TEST_00167,섬,섬,True
168,TEST_00168,"야영장,오토캠핑장","야영장,오토캠핑장",True
169,TEST_00169,고궁,고궁,True
170,TEST_00170,유적지/사적지,유적지/사적지,True
171,TEST_00171,섬,섬,True
172,TEST_00172,"야영장,오토캠핑장","야영장,오토캠핑장",True
173,TEST_00173,컨벤션센터,컨벤션센터,True
174,TEST_00174,전시관,전시관,True
175,TEST_00175,전문상가,전문상가,True
176,TEST_00176,성,성,True
177,TEST_00177,한식,한식,True
178,TEST_00178,한식,한식,True
179,TEST_00179,사찰,사찰,True
180,TEST_00180,서양식,서양식,True
181,TEST_00181,기암괴석,기암괴석,True
182,TEST_00182,한식,한식,True
183,TEST_00183,유명건물,유명건물,True
184,TEST_00184,호수,호수,True
185,TEST_00185,한식,한식,True
186,TEST_00186,한식,한식,True
187,TEST_00187,사찰,사찰,True
188,TEST_00188,"야영장,오토캠핑장","야영장,오토캠핑장",True
189,TEST_00189,일반축제,일반축제,True
190,TEST_00190,사찰,사찰,True
191,TEST_00191,트래킹,트래킹,True
192,TEST_00192,유적지/사적지,유적지/사적지,True
193,TEST_00193,"야영장,오토캠핑장","야영장,오토캠핑장",True
194,TEST_00194,채식전문점,채식전문점,True
195,TEST_00195,일반축제,일반축제,True
196,TEST_00196,한식,한식,True
197,TEST_00197,"야영장,오토캠핑장","야영장,오토캠핑장",True
198,TEST_00198,발전소,발전소,True
199,TEST_00199,미술관/화랑,미술관/화랑,True
200,TEST_00200,한식,한식,True
201,TEST_00201,한식,한식,True
202,TEST_00202,유적지/사적지,유적지/사적지,True
203,TEST_00203,바/까페,바/까페,True
204,TEST_00204,"야영장,오토캠핑장","야영장,오토캠핑장",True
205,TEST_00205,수련시설,수련시설,True
206,TEST_00206,수영,수영,True
207,TEST_00207,자연생태관광지,자연생태관광지,True
208,TEST_00208,이색거리,이색거리,True
209,TEST_00209,공원,공원,True
210,TEST_00210,이색거리,이색거리,True
211,TEST_00211,박물관,박물관,True
212,TEST_00212,전문상가,전문상가,True
213,TEST_00213,한식,한식,True
214,TEST_00214,일식,일식,True
215,TEST_00215,모텔,모텔,True
216,TEST_00216,바/까페,바/까페,True
217,TEST_00217,한식,한식,True
218,TEST_00218,이색거리,이색거리,True
219,TEST_00219,유적지/사적지,유적지/사적지,True
220,TEST_00220,한식,한식,True
221,TEST_00221,사찰,사찰,True
222,TEST_00222,한식,한식,True
223,TEST_00223,트래킹,트래킹,True
224,TEST_00224,도립공원,도립공원,True
225,TEST_00225,산,산,True
226,TEST_00226,자연생태관광지,자연생태관광지,True
227,TEST_00227,한식,한식,True
228,TEST_00228,펜션,펜션,True
229,TEST_00229,한식,한식,True
230,TEST_00230,공원,공원,True
231,TEST_00231,한식,한식,True
232,TEST_00232,바/까페,바/까페,True
233,TEST_00233,기암괴석,기암괴석,True
234,TEST_00234,관광단지,관광단지,True
235,TEST_00235,자연생태관광지,자연생태관광지,True
236,TEST_00236,사찰,사찰,True
237,TEST_00237,"야영장,오토캠핑장","야영장,오토캠핑장",True
238,TEST_00238,한식,한식,True
239,TEST_00239,산,산,True
240,TEST_00240,강,강,True
241,TEST_00241,"야영장,오토캠핑장","야영장,오토캠핑장",True
242,TEST_00242,산,산,True
243,TEST_00243,일반축제,일반축제,True
244,TEST_00244,한옥스테이,한옥스테이,True
245,TEST_00245,상설시장,상설시장,True
246,TEST_00246,고궁,고궁,True
247,TEST_00247,한식,한식,True
248,TEST_00248,모텔,모텔,True
249,TEST_00249,"야영장,오토캠핑장","야영장,오토캠핑장",True
250,TEST_00250,수영,수영,True
251,TEST_00251,한식,한식,True
252,TEST_00252,한식,한식,True
253,TEST_00253,이색거리,이색거리,True
254,TEST_00254,한식,한식,True
255,TEST_00255,유원지,유원지,True
256,TEST_00256,유원지,유원지,True
257,TEST_00257,"야영장,오토캠핑장","야영장,오토캠핑장",True
258,TEST_00258,자연생태관광지,자연생태관광지,True
259,TEST_00259,박물관,박물관,True
260,TEST_00260,한식,한식,True
261,TEST_00261,한옥스테이,한옥스테이,True
262,TEST_00262,한옥스테이,한옥스테이,True
263,TEST_00263,항구/포구,항구/포구,True
264,TEST_00264,전시관,전시관,True
265,TEST_00265,자연휴양림,자연휴양림,True
266,TEST_00266,"야영장,오토캠핑장","야영장,오토캠핑장",True
267,TEST_00267,일반축제,일반축제,True
268,TEST_00268,바/까페,바/까페,True
269,TEST_00269,공원,공원,True
270,TEST_00270,한식,한식,True
271,TEST_00271,상설시장,상설시장,True
272,TEST_00272,유적지/사적지,유적지/사적지,True
273,TEST_00273,기념관,기념관,True
274,TEST_00274,미술관/화랑,미술관/화랑,True
275,TEST_00275,모텔,모텔,True
276,TEST_00276,승마,승마,True
277,TEST_00277,서양식,서양식,True
278,TEST_00278,테마공원,테마공원,True
279,TEST_00279,유명건물,유명건물,True
280,TEST_00280,테마공원,테마공원,True
281,TEST_00281,일식,일식,True
282,TEST_00282,박물관,박물관,True
283,TEST_00283,공원,공원,True
284,TEST_00284,폭포,폭포,True
285,TEST_00285,자전거하이킹,자전거하이킹,True
286,TEST_00286,스키(보드) 렌탈샵,스키(보드) 렌탈샵,True
287,TEST_00287,박물관,박물관,True
288,TEST_00288,문화원,문화원,True
289,TEST_00289,상설시장,상설시장,True
290,TEST_00290,농.산.어촌 체험,농.산.어촌 체험,True
291,TEST_00291,콘도미니엄,콘도미니엄,True
292,TEST_00292,한식,한식,True
293,TEST_00293,산,산,True
294,TEST_00294,한식,한식,True
295,TEST_00295,"야영장,오토캠핑장","야영장,오토캠핑장",True
296,TEST_00296,일반축제,일반축제,True
297,TEST_00297,미술관/화랑,미술관/화랑,True
298,TEST_00298,골프,골프,True
299,TEST_00299,공연장,공연장,True
300,TEST_00300,일반축제,박람회,False
301,TEST_00301,상설시장,상설시장,True
302,TEST_00302,유명건물,유명건물,True
303,TEST_00303,서양식,서양식,True
304,TEST_00304,썰매장,썰매장,True
305,TEST_00305,한식,한식,True
306,TEST_00306,트래킹,트래킹,True
307,TEST_00307,박물관,박물관,True
308,TEST_00308,펜션,펜션,True
309,TEST_00309,해수욕장,해수욕장,True
310,TEST_00310,사찰,사찰,True
311,TEST_00311,기념탑/기념비/전망대,기념탑/기념비/전망대,True
312,TEST_00312,도서관,도서관,True
313,TEST_00313,한식,한식,True
314,TEST_00314,한식,한식,True
315,TEST_00315,섬,섬,True
316,TEST_00316,"야영장,오토캠핑장","야영장,오토캠핑장",True
317,TEST_00317,수목원,수목원,True
318,TEST_00318,"야영장,오토캠핑장","야영장,오토캠핑장",True
319,TEST_00319,한옥스테이,한옥스테이,True
320,TEST_00320,사찰,사찰,True
321,TEST_00321,골프,골프,True
322,TEST_00322,"야영장,오토캠핑장","야영장,오토캠핑장",True
323,TEST_00323,문화원,문화원,True
324,TEST_00324,민속마을,민속마을,True
325,TEST_00325,"야영장,오토캠핑장","야영장,오토캠핑장",True
326,TEST_00326,바/까페,바/까페,True
327,TEST_00327,모텔,모텔,True
328,TEST_00328,한식,한식,True
329,TEST_00329,자연휴양림,자연휴양림,True
330,TEST_00330,수목원,수목원,True
331,TEST_00331,한옥스테이,한옥스테이,True
332,TEST_00332,모텔,모텔,True
333,TEST_00333,한식,한식,True
334,TEST_00334,해수욕장,해수욕장,True
335,TEST_00335,한식,한식,True
336,TEST_00336,한식,한식,True
337,TEST_00337,"야영장,오토캠핑장","야영장,오토캠핑장",True
338,TEST_00338,섬,섬,True
339,TEST_00339,유스호스텔,유스호스텔,True
340,TEST_00340,한식,한식,True
341,TEST_00341,성,성,True
342,TEST_00342,이색거리,이색거리,True
343,TEST_00343,골프,골프,True
344,TEST_00344,유원지,유원지,True
345,TEST_00345,박물관,유명건물,False
346,TEST_00346,유적지/사적지,유적지/사적지,True
347,TEST_00347,바/까페,바/까페,True
348,TEST_00348,한식,한식,True
349,TEST_00349,사찰,사찰,True
350,TEST_00350,박람회,박람회,True
351,TEST_00351,일반축제,일반축제,True
352,TEST_00352,고궁,고궁,True
353,TEST_00353,중식,중식,True
354,TEST_00354,한식,한식,True
355,TEST_00355,5일장,5일장,True
356,TEST_00356,수목원,수목원,True
357,TEST_00357,항구/포구,항구/포구,True
358,TEST_00358,한식,한식,True
359,TEST_00359,바/까페,바/까페,True
360,TEST_00360,농.산.어촌 체험,농.산.어촌 체험,True
361,TEST_00361,한식,한식,True
362,TEST_00362,서양식,서양식,True
363,TEST_00363,전시관,전시관,True
364,TEST_00364,한식,한식,True
365,TEST_00365,온천/욕장/스파,온천/욕장/스파,True
366,TEST_00366,유적지/사적지,유적지/사적지,True
367,TEST_00367,모텔,모텔,True
368,TEST_00368,유적지/사적지,유적지/사적지,True
369,TEST_00369,고택,고택,True
370,TEST_00370,기념탑/기념비/전망대,기념탑/기념비/전망대,True
371,TEST_00371,한식,한식,True
372,TEST_00372,농.산.어촌 체험,농.산.어촌 체험,True
373,TEST_00373,유적지/사적지,유적지/사적지,True
374,TEST_00374,한식,한식,True
375,TEST_00375,한식,한식,True
376,TEST_00376,"야영장,오토캠핑장","야영장,오토캠핑장",True
377,TEST_00377,펜션,펜션,True
378,TEST_00378,모텔,모텔,True
379,TEST_00379,한식,한식,True
380,TEST_00380,기념관,기념관,True
381,TEST_00381,문화원,문화원,True
382,TEST_00382,농.산.어촌 체험,농.산.어촌 체험,True
383,TEST_00383,계곡,계곡,True
384,TEST_00384,박물관,박물관,True
385,TEST_00385,한식,한식,True
386,TEST_00386,"야영장,오토캠핑장","야영장,오토캠핑장",True
387,TEST_00387,골프,골프,True
388,TEST_00388,특산물판매점,특산물판매점,True
389,TEST_00389,농.산.어촌 체험,농.산.어촌 체험,True
390,TEST_00390,바다낚시,바다낚시,True
391,TEST_00391,컨벤션,컨벤션,True
392,TEST_00392,수련시설,수련시설,True
393,TEST_00393,미술관/화랑,미술관/화랑,True
394,TEST_00394,"야영장,오토캠핑장","야영장,오토캠핑장",True
395,TEST_00395,"야영장,오토캠핑장","야영장,오토캠핑장",True
396,TEST_00396,한식,한식,True
397,TEST_00397,생가,생가,True
398,TEST_00398,유원지,수련시설,False
399,TEST_00399,한옥스테이,한옥스테이,True
400,TEST_00400,한식,한식,True
401,TEST_00401,일식,일식,True
402,TEST_00402,한식,한식,True
403,TEST_00403,유스호스텔,유스호스텔,True
404,TEST_00404,바/까페,바/까페,True
405,TEST_00405,해수욕장,해수욕장,True
406,TEST_00406,"야영장,오토캠핑장","야영장,오토캠핑장",True
407,TEST_00407,펜션,펜션,True
408,TEST_00408,한식,한식,True
409,TEST_00409,한식,한식,True
410,TEST_00410,농.산.어촌 체험,농.산.어촌 체험,True
411,TEST_00411,관광단지,관광단지,True
412,TEST_00412,서양식,서양식,True
413,TEST_00413,항구/포구,항구/포구,True
414,TEST_00414,일반축제,일반축제,True
415,TEST_00415,기념관,기념관,True
416,TEST_00416,계곡,계곡,True
417,TEST_00417,일반축제,일반축제,True
418,TEST_00418,상설시장,상설시장,True
419,TEST_00419,중식,중식,True
420,TEST_00420,일반축제,일반축제,True
421,TEST_00421,바/까페,바/까페,True
422,TEST_00422,한식,한식,True
423,TEST_00423,사찰,사찰,True
424,TEST_00424,유적지/사적지,유적지/사적지,True
425,TEST_00425,한식,한식,True
426,TEST_00426,산,산,True
427,TEST_00427,바/까페,바/까페,True
428,TEST_00428,한식,한식,True
429,TEST_00429,트래킹,트래킹,True
430,TEST_00430,일반축제,일반축제,True
431,TEST_00431,일반축제,일반축제,True
432,TEST_00432,한식,한식,True
433,TEST_00433,펜션,펜션,True
434,TEST_00434,스케이트,스케이트,True
435,TEST_00435,모텔,모텔,True
436,TEST_00436,"야영장,오토캠핑장","야영장,오토캠핑장",True
437,TEST_00437,전문상가,전문상가,True
438,TEST_00438,한식,한식,True
439,TEST_00439,트래킹,트래킹,True
440,TEST_00440,골프,골프,True
441,TEST_00441,한식,한식,True
442,TEST_00442,바/까페,바/까페,True
443,TEST_00443,한식,한식,True
444,TEST_00444,유원지,유원지,True
445,TEST_00445,한식,한식,True
446,TEST_00446,일반축제,일반축제,True
447,TEST_00447,민물낚시,민물낚시,True
448,TEST_00448,바/까페,바/까페,True
449,TEST_00449,승마,승마,True
450,TEST_00450,사찰,사찰,True
451,TEST_00451,골프,골프,True
452,TEST_00452,기념탑/기념비/전망대,기념탑/기념비/전망대,True
453,TEST_00453,한식,한식,True
454,TEST_00454,한식,한식,True
455,TEST_00455,"야영장,오토캠핑장","야영장,오토캠핑장",True
456,TEST_00456,전문상가,전문상가,True
457,TEST_00457,강,강,True
458,TEST_00458,한식,한식,True
459,TEST_00459,일반축제,일반축제,True
460,TEST_00460,"야영장,오토캠핑장","야영장,오토캠핑장",True
461,TEST_00461,한식,한식,True
462,TEST_00462,한식,한식,True
463,TEST_00463,모텔,모텔,True
464,TEST_00464,한식,한식,True
465,TEST_00465,"야영장,오토캠핑장","야영장,오토캠핑장",True
466,TEST_00466,섬,섬,True
467,TEST_00467,농.산.어촌 체험,농.산.어촌 체험,True
468,TEST_00468,한식,한식,True
469,TEST_00469,한식,한식,True
470,TEST_00470,한옥스테이,한옥스테이,True
471,TEST_00471,유명건물,유명건물,True
472,TEST_00472,자연생태관광지,자연생태관광지,True
473,TEST_00473,유명건물,유명건물,True
474,TEST_00474,유명건물,유명건물,True
475,TEST_00475,계곡,계곡,True
476,TEST_00476,중식,중식,True
477,TEST_00477,한식,한식,True
478,TEST_00478,서양식,서양식,True
479,TEST_00479,한식,한식,True
480,TEST_00480,전시관,전시관,True
481,TEST_00481,펜션,펜션,True
482,TEST_00482,관광단지,관광단지,True
483,TEST_00483,한식,한식,True
484,TEST_00484,유원지,유원지,True
485,TEST_00485,농.산.어촌 체험,농.산.어촌 체험,True
486,TEST_00486,기념탑/기념비/전망대,기념탑/기념비/전망대,True
487,TEST_00487,썰매장,썰매장,True
488,TEST_00488,일반축제,일반축제,True
489,TEST_00489,사찰,사찰,True
490,TEST_00490,농.산.어촌 체험,농.산.어촌 체험,True
491,TEST_00491,펜션,펜션,True
492,TEST_00492,유원지,유원지,True
493,TEST_00493,"야영장,오토캠핑장","야영장,오토캠핑장",True
494,TEST_00494,썰매장,썰매장,True
495,TEST_00495,바/까페,바/까페,True
496,TEST_00496,"야영장,오토캠핑장","야영장,오토캠핑장",True
497,TEST_00497,유적지/사적지,유적지/사적지,True
498,TEST_00498,한식,한식,True
499,TEST_00499,한식,한식,True
500,TEST_00500,상설시장,상설시장,True
501,TEST_00501,서양식,서양식,True
502,TEST_00502,자연생태관광지,자연생태관광지,True
503,TEST_00503,한식,한식,True
504,TEST_00504,관광단지,관광단지,True
505,TEST_00505,산,산,True
506,TEST_00506,산,산,True
507,TEST_00507,한식,한식,True
508,TEST_00508,헹글라이딩/패러글라이딩,헹글라이딩/패러글라이딩,True
509,TEST_00509,중식,중식,True
510,TEST_00510,골프,골프,True
511,TEST_00511,전시관,전시관,True
512,TEST_00512,상설시장,상설시장,True
513,TEST_00513,종교성지,종교성지,True
514,TEST_00514,한식,한식,True
515,TEST_00515,대형서점,대형서점,True
516,TEST_00516,기념탑/기념비/전망대,기념탑/기념비/전망대,True
517,TEST_00517,"야영장,오토캠핑장","야영장,오토캠핑장",True
518,TEST_00518,한식,한식,True
519,TEST_00519,사찰,사찰,True
520,TEST_00520,일반축제,일반축제,True
521,TEST_00521,한식,한식,True
522,TEST_00522,펜션,펜션,True
523,TEST_00523,도서관,도서관,True
524,TEST_00524,사찰,사찰,True
525,TEST_00525,동상,동상,True
526,TEST_00526,"야영장,오토캠핑장","야영장,오토캠핑장",True
527,TEST_00527,한식,한식,True
528,TEST_00528,유원지,유적지/사적지,False
529,TEST_00529,"야영장,오토캠핑장","야영장,오토캠핑장",True
530,TEST_00530,한식,한식,True
531,TEST_00531,"야영장,오토캠핑장","야영장,오토캠핑장",True
532,TEST_00532,테마공원,테마공원,True
533,TEST_00533,전문상가,전문상가,True
534,TEST_00534,일반축제,일반축제,True
535,TEST_00535,중식,중식,True
536,TEST_00536,"야영장,오토캠핑장","야영장,오토캠핑장",True
537,TEST_00537,펜션,펜션,True
538,TEST_00538,패밀리레스토랑,패밀리레스토랑,True
539,TEST_00539,산,산,True
540,TEST_00540,민박,민박,True
541,TEST_00541,기암괴석,기암괴석,True
542,TEST_00542,서양식,서양식,True
543,TEST_00543,한식,한식,True
544,TEST_00544,폭포,폭포,True
545,TEST_00545,도서관,도서관,True
546,TEST_00546,한식,한식,True
547,TEST_00547,모텔,모텔,True
548,TEST_00548,"야영장,오토캠핑장","야영장,오토캠핑장",True
549,TEST_00549,한식,한식,True
550,TEST_00550,공원,공원,True
551,TEST_00551,박물관,박물관,True
552,TEST_00552,한식,한식,True
553,TEST_00553,한식,한식,True
554,TEST_00554,전시관,전시관,True
555,TEST_00555,농.산.어촌 체험,농.산.어촌 체험,True
556,TEST_00556,미술관/화랑,미술관/화랑,True
557,TEST_00557,고택,고택,True
558,TEST_00558,한식,한식,True
559,TEST_00559,"야영장,오토캠핑장","야영장,오토캠핑장",True
560,TEST_00560,전문상가,전문상가,True
561,TEST_00561,섬,섬,True
562,TEST_00562,강,강,True
563,TEST_00563,사찰,사찰,True
564,TEST_00564,"야영장,오토캠핑장","야영장,오토캠핑장",True
565,TEST_00565,"야영장,오토캠핑장","야영장,오토캠핑장",True
566,TEST_00566,"야영장,오토캠핑장","야영장,오토캠핑장",True
567,TEST_00567,펜션,펜션,True
568,TEST_00568,한식,한식,True
569,TEST_00569,기념탑/기념비/전망대,기념탑/기념비/전망대,True
570,TEST_00570,종교성지,종교성지,True
571,TEST_00571,한식,한식,True
572,TEST_00572,"야영장,오토캠핑장","야영장,오토캠핑장",True
573,TEST_00573,한식,한식,True
574,TEST_00574,중식,중식,True
575,TEST_00575,이색거리,이색거리,True
576,TEST_00576,한식,한식,True
577,TEST_00577,사찰,사찰,True
578,TEST_00578,한식,한식,True
579,TEST_00579,강,강,True
580,TEST_00580,"야영장,오토캠핑장","야영장,오토캠핑장",True
581,TEST_00581,한식,한식,True
582,TEST_00582,한식,한식,True
583,TEST_00583,펜션,펜션,True
584,TEST_00584,유스호스텔,유스호스텔,True
585,TEST_00585,"야영장,오토캠핑장","야영장,오토캠핑장",True
586,TEST_00586,"야영장,오토캠핑장","야영장,오토캠핑장",True
587,TEST_00587,전문상가,전문상가,True
588,TEST_00588,일반축제,일반축제,True
589,TEST_00589,바/까페,바/까페,True
590,TEST_00590,기타,테마공원,False
591,TEST_00591,일반축제,일반축제,True
592,TEST_00592,"야영장,오토캠핑장","야영장,오토캠핑장",True
593,TEST_00593,바/까페,바/까페,True
594,TEST_00594,골프,골프,True
595,TEST_00595,모텔,모텔,True
596,TEST_00596,문화원,문화원,True
597,TEST_00597,계곡,계곡,True
598,TEST_00598,한식,한식,True
599,TEST_00599,자연생태관광지,자연생태관광지,True
600,TEST_00600,유적지/사적지,유적지/사적지,True
601,TEST_00601,이색거리,이색거리,True
602,TEST_00602,모텔,모텔,True
603,TEST_00603,기념탑/기념비/전망대,기념탑/기념비/전망대,True
604,TEST_00604,유적지/사적지,유적지/사적지,True
605,TEST_00605,일반축제,일반축제,True
606,TEST_00606,공원,공원,True
607,TEST_00607,해수욕장,해수욕장,True
608,TEST_00608,서양식,서양식,True
609,TEST_00609,5일장,5일장,True
610,TEST_00610,중식,중식,True
611,TEST_00611,한식,한식,True
612,TEST_00612,사찰,사찰,True
613,TEST_00613,한식,한식,True
614,TEST_00614,바/까페,바/까페,True
615,TEST_00615,바/까페,바/까페,True
616,TEST_00616,"야영장,오토캠핑장","야영장,오토캠핑장",True
617,TEST_00617,유적지/사적지,유적지/사적지,True
618,TEST_00618,농.산.어촌 체험,농.산.어촌 체험,True
619,TEST_00619,사찰,사찰,True
620,TEST_00620,"야영장,오토캠핑장","야영장,오토캠핑장",True
621,TEST_00621,공원,공원,True
622,TEST_00622,바/까페,바/까페,True
623,TEST_00623,한식,한식,True
624,TEST_00624,한식,한식,True
625,TEST_00625,자연생태관광지,자연생태관광지,True
626,TEST_00626,한식,한식,True
627,TEST_00627,5일장,5일장,True
628,TEST_00628,콘도미니엄,콘도미니엄,True
629,TEST_00629,트래킹,트래킹,True
630,TEST_00630,한식,한식,True
631,TEST_00631,한식,한식,True
632,TEST_00632,한식,한식,True
633,TEST_00633,사찰,사찰,True
634,TEST_00634,한옥스테이,한옥스테이,True
635,TEST_00635,"야영장,오토캠핑장","야영장,오토캠핑장",True
636,TEST_00636,농.산.어촌 체험,농.산.어촌 체험,True
637,TEST_00637,한식,한식,True
638,TEST_00638,한식,한식,True
