id,e0,e1,e2,e3,e4,e5,e6,e8,e7,e9,cat3
TEST_00102,118,118,118,118,118,118,118,118,118,118,한식
TEST_00103,80,80,80,102,102,102,102,102,102,102,카약/카누
TEST_00104,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00105,118,118,118,118,118,118,118,118,118,118,한식
TEST_00106,53,53,53,53,52,17,17,17,17,17,산
TEST_00107,115,115,115,115,115,115,115,115,115,115,펜션
TEST_00108,118,118,118,118,118,118,118,118,118,118,한식
TEST_00109,100,114,114,114,114,114,114,114,114,114,패밀리레스토랑
TEST_00110,118,118,118,118,118,118,118,118,118,118,한식
TEST_00111,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00112,3,82,82,82,82,82,125,82,82,82,호수
TEST_00113,118,118,118,118,118,118,118,118,118,118,한식
TEST_00114,97,86,86,97,86,97,97,97,97,97,전시관
TEST_00115,118,118,118,118,118,118,118,118,118,118,한식
TEST_00116,93,93,93,93,122,93,122,122,122,122,자연생태관광지
TEST_00117,97,111,111,86,18,18,18,86,86,86,이색거리
TEST_00118,97,97,97,97,97,97,97,97,97,97,전시관
TEST_00119,12,12,12,12,12,12,12,12,12,12,관광단지
TEST_00120,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00121,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00122,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00123,118,118,118,118,118,118,118,118,118,118,한식
TEST_00124,58,58,58,58,58,58,58,58,58,58,섬
TEST_00125,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00126,92,92,92,92,92,92,92,92,92,92,자동차경주
TEST_00127,118,118,118,118,118,118,118,118,118,118,한식
TEST_00128,118,118,118,118,118,118,118,118,118,118,한식
TEST_00129,118,118,118,118,118,118,118,118,118,118,한식
TEST_00130,8,8,8,8,8,8,8,8,8,8,골프
TEST_00131,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00132,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_00133,90,90,90,43,90,105,105,90,105,90,컨벤션
TEST_00134,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00135,118,118,118,118,118,118,118,118,118,118,한식
TEST_00136,54,96,96,54,113,96,54,54,54,54,상설시장
TEST_00137,118,118,118,118,118,118,118,118,118,118,한식
TEST_00138,111,19,90,19,19,90,90,90,90,90,일반축제
TEST_00139,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_00140,91,118,118,118,118,118,118,118,118,118,한식
TEST_00141,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00142,118,118,118,118,118,118,118,118,118,118,한식
TEST_00143,8,8,8,8,8,8,8,8,8,8,골프
TEST_00144,31,31,31,31,31,31,31,31,31,31,모텔
TEST_00145,16,16,16,16,16,16,85,16,16,16,기념탑/기념비/전망대
TEST_00146,118,118,118,118,118,118,118,118,118,118,한식
TEST_00147,53,53,53,53,53,53,53,53,53,53,산
TEST_00148,11,84,11,84,11,84,84,11,11,11,공원
TEST_00149,111,111,111,111,111,111,111,111,111,111,테마공원
TEST_00150,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00151,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_00152,111,86,97,97,97,97,97,97,97,97,이색거리
TEST_00153,118,118,118,118,118,118,118,118,118,118,한식
TEST_00154,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00155,97,97,97,97,18,97,97,97,97,97,전시관
TEST_00156,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00157,118,118,118,118,118,118,118,118,118,118,한식
TEST_00158,84,84,11,11,11,11,11,11,11,11,공원
TEST_00159,57,57,57,57,57,57,57,57,57,57,서양식
TEST_00160,21,21,21,21,21,21,21,21,21,21,다리/대교
TEST_00161,96,96,10,10,10,96,10,10,10,10,특산물판매점
TEST_00162,73,73,94,94,94,94,94,94,94,94,자연휴양림
TEST_00163,11,11,11,11,93,11,11,11,11,11,공원
TEST_00164,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_00165,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00166,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00167,58,58,58,58,58,58,58,58,58,58,섬
TEST_00168,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00169,85,6,6,6,6,6,6,6,6,6,고궁
TEST_00170,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00171,42,58,58,39,58,58,58,58,58,58,섬
TEST_00172,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00173,90,119,82,119,82,82,106,106,106,106,컨벤션센터
TEST_00174,97,97,97,97,97,97,97,97,97,97,전시관
TEST_00175,96,96,96,30,30,96,30,30,96,30,전문상가
TEST_00176,59,59,59,59,59,59,59,59,59,59,성
TEST_00177,118,118,118,118,118,118,118,118,118,118,한식
TEST_00178,118,118,118,118,118,118,118,118,118,118,한식
TEST_00179,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00180,57,57,57,57,114,57,57,57,57,57,서양식
TEST_00181,17,17,17,17,17,17,17,17,17,17,기암괴석
TEST_00182,118,118,118,118,118,118,118,118,118,118,한식
TEST_00183,82,82,82,82,82,82,82,82,82,82,유명건물
TEST_00184,3,3,125,125,125,125,125,125,125,125,호수
TEST_00185,118,118,118,118,118,118,118,118,118,118,한식
TEST_00186,118,118,118,118,118,118,118,118,118,118,한식
TEST_00187,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00188,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00189,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00190,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00191,112,112,112,112,112,112,112,112,112,112,트래킹
TEST_00192,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00193,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00194,41,96,101,57,101,101,101,101,101,101,채식전문점
TEST_00195,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00196,118,118,118,118,118,118,118,118,118,118,한식
TEST_00197,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00198,3,125,82,125,110,45,45,45,45,45,발전소
TEST_00199,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_00200,118,118,118,118,118,118,118,118,118,118,한식
TEST_00201,118,118,118,118,118,118,118,118,118,118,한식
TEST_00202,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00203,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00204,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00205,60,60,60,60,60,60,60,60,60,60,수련시설
TEST_00206,92,63,63,63,63,63,63,63,63,63,수영
TEST_00207,93,93,93,93,93,93,93,127,127,127,자연생태관광지
TEST_00208,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_00209,84,84,11,11,11,11,11,11,11,11,공원
TEST_00210,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_00211,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00212,96,96,96,96,96,96,96,96,96,96,전문상가
TEST_00213,118,118,118,118,118,118,118,118,118,118,한식
TEST_00214,91,91,91,91,91,91,91,91,91,91,일식
TEST_00215,31,31,31,119,119,119,119,119,31,119,모텔
TEST_00216,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00217,118,118,118,118,118,57,118,118,118,118,한식
TEST_00218,97,86,86,9,18,86,18,18,18,18,이색거리
TEST_00219,16,85,16,85,85,85,85,85,85,85,유적지/사적지
TEST_00220,118,118,118,118,118,118,118,118,118,118,한식
TEST_00221,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00222,118,118,118,118,118,118,118,118,118,118,한식
TEST_00223,112,112,112,112,112,112,112,112,112,112,트래킹
TEST_00224,52,13,13,13,24,24,13,24,24,24,도립공원
TEST_00225,53,53,53,53,53,53,53,53,53,53,산
TEST_00226,93,93,93,93,93,93,93,93,93,93,자연생태관광지
TEST_00227,118,118,118,118,118,118,118,118,118,118,한식
TEST_00228,115,115,115,115,115,115,115,115,115,115,펜션
TEST_00229,118,118,118,118,118,118,118,118,118,118,한식
TEST_00230,11,11,11,11,11,11,11,11,11,11,공원
TEST_00231,118,118,118,118,118,118,118,118,118,118,한식
TEST_00232,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00233,42,42,42,42,122,42,17,17,42,17,기암괴석
TEST_00234,73,73,73,73,73,73,12,73,73,73,관광단지
TEST_00235,93,93,120,93,93,93,93,93,93,93,자연생태관광지
TEST_00236,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00237,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00238,118,118,118,118,118,118,118,118,118,118,한식
TEST_00239,53,53,53,53,53,53,53,53,53,53,산
TEST_00240,3,3,3,3,3,3,3,3,3,3,강
TEST_00241,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00242,53,53,53,53,53,53,53,53,53,53,산
TEST_00243,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00244,31,119,31,119,31,119,119,119,31,119,한옥스테이
TEST_00245,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_00246,6,32,6,6,6,6,6,6,6,6,고궁
TEST_00247,118,118,118,118,118,118,118,118,118,118,한식
TEST_00248,31,31,31,31,31,31,31,31,31,31,모텔
TEST_00249,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00250,63,63,63,63,63,63,63,63,63,63,수영
TEST_00251,118,118,118,118,118,118,118,118,118,118,한식
TEST_00252,118,118,118,118,118,118,118,118,118,118,한식
TEST_00253,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_00254,118,118,118,118,118,118,118,118,118,118,한식
TEST_00255,84,84,84,84,84,3,84,84,84,84,유원지
TEST_00256,84,84,84,84,84,84,84,84,84,84,유원지
TEST_00257,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00258,127,93,18,85,93,18,86,86,18,18,자연생태관광지
TEST_00259,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00260,118,118,118,118,118,118,118,118,118,118,한식
TEST_00261,119,126,126,119,119,119,119,119,119,119,한옥스테이
TEST_00262,119,119,115,119,31,31,31,107,31,31,한옥스테이
TEST_00263,120,120,120,79,120,120,120,120,120,120,항구/포구
TEST_00264,97,97,97,97,97,97,97,97,97,97,전시관
TEST_00265,94,94,94,94,94,94,73,73,73,73,자연휴양림
TEST_00266,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00267,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00268,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00269,11,11,11,11,11,11,84,11,84,11,공원
TEST_00270,118,118,118,118,118,118,118,118,118,118,한식
TEST_00271,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_00272,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00273,15,15,15,15,15,15,15,15,15,15,기념관
TEST_00274,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_00275,31,31,31,31,31,31,31,31,31,31,모텔
TEST_00276,69,69,69,69,69,69,69,69,69,69,승마
TEST_00277,57,57,57,57,57,57,57,57,57,57,서양식
TEST_00278,82,82,82,82,86,86,82,111,82,111,테마공원
TEST_00279,82,82,82,3,3,82,3,84,3,3,유명건물
TEST_00280,111,111,111,111,111,111,111,111,111,111,테마공원
TEST_00281,91,91,91,91,91,91,91,91,91,91,일식
TEST_00282,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00283,11,11,11,11,11,11,11,11,11,11,공원
TEST_00284,116,116,116,116,116,116,116,116,116,116,폭포
TEST_00285,80,80,95,95,95,95,95,95,95,95,자전거하이킹
TEST_00286,67,67,67,67,67,67,67,67,67,67,스키(보드) 렌탈샵
TEST_00287,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00288,34,34,34,34,34,34,34,34,34,34,문화원
TEST_00289,0,54,54,54,54,54,54,54,54,54,상설시장
TEST_00290,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00291,12,12,115,12,12,107,12,107,107,107,콘도미니엄
TEST_00292,118,118,118,118,118,118,118,118,118,118,한식
TEST_00293,53,53,82,82,82,53,53,82,82,82,산
TEST_00294,118,118,118,118,118,118,118,118,118,118,한식
TEST_00295,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00296,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00297,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_00298,8,8,8,8,8,8,8,8,8,8,골프
TEST_00299,9,9,9,9,9,9,9,9,9,9,공연장
TEST_00300,90,43,43,90,90,90,90,90,90,90,박람회
TEST_00301,54,54,54,0,0,0,0,0,0,0,상설시장
TEST_00302,82,82,82,82,82,82,125,82,125,82,유명건물
TEST_00303,118,118,118,57,114,57,114,57,57,57,서양식
TEST_00304,71,71,71,71,71,71,71,71,71,71,썰매장
TEST_00305,118,118,118,118,118,118,118,118,118,118,한식
TEST_00306,112,86,85,85,85,85,85,85,85,85,트래킹
TEST_00307,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00308,115,115,115,115,115,115,115,115,115,115,펜션
TEST_00309,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_00310,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00311,16,16,16,16,16,16,16,16,16,16,기념탑/기념비/전망대
TEST_00312,25,25,25,25,25,25,25,25,25,25,도서관
TEST_00313,118,118,118,118,118,118,118,118,118,118,한식
TEST_00314,118,118,118,118,118,118,118,118,118,118,한식
TEST_00315,58,58,58,58,58,58,58,58,58,58,섬
TEST_00316,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00317,61,61,61,61,61,61,61,86,86,86,수목원
TEST_00318,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00319,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_00320,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00321,8,8,8,8,8,8,8,8,8,8,골프
TEST_00322,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00323,34,34,34,34,34,34,34,34,34,34,문화원
TEST_00324,40,40,40,40,40,40,40,40,40,40,민속마을
TEST_00325,73,73,73,12,73,73,115,73,73,73,"야영장,오토캠핑장"
TEST_00326,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00327,31,31,31,31,31,31,31,31,31,31,모텔
TEST_00328,118,118,118,118,118,118,118,118,118,118,한식
TEST_00329,94,94,94,94,94,94,94,94,94,94,자연휴양림
TEST_00330,61,61,61,61,61,61,61,61,61,61,수목원
TEST_00331,119,119,97,97,111,97,97,97,97,97,한옥스테이
TEST_00332,119,119,31,119,31,31,31,31,31,31,모텔
TEST_00333,118,118,118,118,118,118,118,118,118,118,한식
TEST_00334,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_00335,118,118,118,118,118,118,118,118,118,118,한식
TEST_00336,118,118,118,118,118,118,118,118,118,118,한식
TEST_00337,73,73,73,73,73,94,73,73,73,73,"야영장,오토캠핑장"
TEST_00338,58,58,58,58,58,58,39,58,58,58,섬
TEST_00339,31,60,83,83,83,83,83,83,83,83,유스호스텔
TEST_00340,118,118,118,118,118,118,118,118,118,118,한식
TEST_00341,59,32,32,32,59,59,59,59,59,59,성
TEST_00342,86,86,86,40,86,86,86,86,86,86,이색거리
TEST_00343,8,8,8,8,8,8,8,8,8,8,골프
TEST_00344,84,84,84,84,84,84,84,84,84,84,유원지
TEST_00345,44,44,44,44,44,18,44,18,18,18,유명건물
TEST_00346,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00347,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00348,118,57,118,118,118,118,118,118,118,118,한식
TEST_00349,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00350,90,43,43,43,43,43,43,43,43,43,박람회
TEST_00351,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00352,85,6,6,6,6,6,6,6,6,6,고궁
TEST_00353,100,100,100,100,100,100,100,100,100,100,중식
TEST_00354,118,118,118,118,118,118,118,118,118,118,한식
TEST_00355,0,0,0,0,0,0,0,0,0,0,5일장
TEST_00356,11,61,61,61,61,61,61,61,61,61,수목원
TEST_00357,120,120,81,120,81,120,120,120,120,120,항구/포구
TEST_00358,118,118,118,118,118,118,118,118,118,118,한식
TEST_00359,57,57,41,57,41,41,57,57,41,41,바/까페
TEST_00360,20,20,20,72,72,72,20,20,20,20,농.산.어촌 체험
TEST_00361,118,118,118,118,118,118,118,118,118,118,한식
TEST_00362,57,57,57,57,57,57,57,57,57,57,서양식
TEST_00363,111,111,97,97,111,97,97,97,97,97,전시관
TEST_00364,118,118,118,118,118,118,118,118,118,118,한식
TEST_00365,111,111,111,111,111,77,77,111,111,111,온천/욕장/스파
TEST_00366,85,53,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00367,31,31,31,31,31,31,31,31,31,31,모텔
TEST_00368,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00369,7,7,7,7,85,7,7,7,7,7,고택
TEST_00370,16,16,16,16,16,16,16,16,16,16,기념탑/기념비/전망대
TEST_00371,118,118,118,118,118,118,118,118,118,118,한식
TEST_00372,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00373,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00374,118,118,118,118,118,118,118,118,118,118,한식
TEST_00375,118,118,118,118,118,118,118,118,118,118,한식
TEST_00376,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00377,115,115,115,115,115,115,115,115,115,115,펜션
TEST_00378,31,31,31,31,31,31,31,31,31,31,모텔
TEST_00379,118,118,118,118,118,118,118,118,118,118,한식
TEST_00380,15,15,15,15,15,15,15,15,15,15,기념관
TEST_00381,34,34,34,34,34,34,34,34,34,34,문화원
TEST_00382,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00383,5,5,5,5,5,5,5,5,5,5,계곡
TEST_00384,44,44,44,44,44,44,44,44,44,44,박물관
TEST_00385,118,118,118,118,118,118,118,118,118,118,한식
TEST_00386,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00387,8,8,8,8,8,8,8,8,8,8,골프
TEST_00388,10,96,10,113,10,96,10,113,10,113,특산물판매점
TEST_00389,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00390,38,42,42,42,42,42,42,42,42,42,바다낚시
TEST_00391,90,90,97,97,97,19,105,105,97,105,컨벤션
TEST_00392,60,60,60,60,60,60,60,60,60,60,수련시설
TEST_00393,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_00394,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00395,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00396,118,118,118,118,118,118,118,118,118,118,한식
TEST_00397,55,55,55,55,55,55,55,55,55,55,생가
TEST_00398,84,90,60,63,84,19,92,19,92,19,수련시설
TEST_00399,119,126,126,119,119,119,119,119,119,119,한옥스테이
TEST_00400,118,118,118,118,118,118,118,118,118,118,한식
TEST_00401,91,91,91,91,91,118,118,91,91,91,일식
TEST_00402,118,118,118,118,118,118,118,118,118,118,한식
TEST_00403,31,83,83,83,83,83,83,83,83,83,유스호스텔
TEST_00404,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00405,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_00406,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_00407,115,115,115,115,115,115,115,115,115,115,펜션
TEST_00408,118,118,118,118,118,118,118,118,118,118,한식
TEST_00409,118,118,118,118,118,118,118,118,118,118,한식
TEST_00410,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_00411,8,8,12,12,12,8,12,12,12,12,관광단지
TEST_00412,57,57,57,118,118,118,57,57,57,57,서양식
TEST_00413,42,120,120,120,120,120,120,120,120,120,항구/포구
TEST_00414,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00415,15,15,15,15,15,15,15,15,15,15,기념관
TEST_00416,5,5,5,5,5,5,5,5,5,5,계곡
TEST_00417,90,90,90,90,90,19,90,90,105,90,일반축제
TEST_00418,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_00419,100,100,100,100,100,100,100,100,100,100,중식
TEST_00420,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_00421,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00422,118,118,118,118,118,118,118,118,118,118,한식
TEST_00423,52,52,52,52,52,52,52,52,52,52,사찰
TEST_00424,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_00425,118,118,118,118,118,118,118,118,118,118,한식
TEST_00426,53,53,53,53,53,53,53,53,53,53,산
TEST_00427,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_00428,118,118,118,118,118,118,118,118,118,118,한식
