,nomal,focal
298,골프,골프
299,공연장,공연장
300,일반축제,일반축제
301,상설시장,상설시장
302,유명건물,유명건물
303,패밀리레스토랑,한식
304,썰매장,썰매장
305,한식,한식
306,트래킹,트래킹
307,박물관,박물관
308,펜션,펜션
309,해수욕장,해수욕장
310,사찰,사찰
311,기념탑/기념비/전망대,기념탑/기념비/전망대
312,도서관,도서관
313,한식,한식
314,한식,일식
315,섬,섬
316,"야영장,오토캠핑장","야영장,오토캠핑장"
317,수목원,수목원
318,"야영장,오토캠핑장","야영장,오토캠핑장"
319,한옥스테이,한옥스테이
320,사찰,사찰
321,골프,골프
322,"야영장,오토캠핑장","야영장,오토캠핑장"
323,문화원,문화원
324,민속마을,민속마을
325,관광단지,관광단지
326,바/까페,바/까페
327,모텔,모텔
328,한식,한식
329,자연휴양림,자연휴양림
330,농.산.어촌 체험,자연생태관광지
331,테마공원,테마공원
332,모텔,모텔
333,한식,한식
334,해수욕장,해수욕장
335,한식,한식
336,한식,한식
337,"야영장,오토캠핑장","야영장,오토캠핑장"
338,섬,섬
339,유스호스텔,유스호스텔
340,한식,한식
341,성,성
342,민속마을,민속마을
343,골프,골프
344,유원지,유원지
345,기타,헬스투어
346,유적지/사적지,유적지/사적지
347,바/까페,바/까페
348,서양식,서양식
349,사찰,사찰
350,박람회,박람회
351,일반축제,일반축제
352,유적지/사적지,유적지/사적지
353,중식,중식
354,한식,한식
355,5일장,상설시장
356,자연생태관광지,수목원
357,항구/포구,항구/포구
358,한식,한식
359,바/까페,바/까페
360,민속마을,민속마을
361,한식,한식
362,서양식,서양식
363,전시관,전시관
364,한식,한식
365,테마공원,테마공원
366,유원지,안보관광
367,모텔,모텔
368,유적지/사적지,유적지/사적지
369,고택,고택
370,기념탑/기념비/전망대,기념탑/기념비/전망대
371,한식,한식
372,농.산.어촌 체험,농.산.어촌 체험
373,고택,유적지/사적지
374,한식,한식
375,한식,한식
376,"야영장,오토캠핑장","야영장,오토캠핑장"
377,펜션,펜션
378,모텔,모텔
379,한식,한식
380,동상,동상
381,문화원,문화원
382,농.산.어촌 체험,농.산.어촌 체험
383,계곡,계곡
384,박물관,박물관
385,한식,한식
386,"야영장,오토캠핑장","야영장,오토캠핑장"
387,골프,골프
388,"공예,공방",특산물판매점
389,농.산.어촌 체험,농.산.어촌 체험
390,바다낚시,바다낚시
391,일반축제,일반축제
392,수련시설,수련시설
393,미술관/화랑,미술관/화랑
394,"야영장,오토캠핑장","야영장,오토캠핑장"
395,"야영장,오토캠핑장","야영장,오토캠핑장"
396,한식,한식
397,생가,생가
398,일반축제,유원지
399,한옥스테이,한옥스테이
400,한식,한식
401,일식,일식
402,한식,한식
403,유스호스텔,유스호스텔
404,바/까페,바/까페
405,해수욕장,해수욕장
406,"야영장,오토캠핑장","야영장,오토캠핑장"
407,펜션,펜션
408,한식,한식
409,한식,한식
410,농.산.어촌 체험,농.산.어촌 체험
411,관광단지,관광단지
412,서양식,서양식
413,항구/포구,바다낚시
414,일반축제,일반축제
415,유적지/사적지,유적지/사적지
416,계곡,계곡
417,컨벤션,컨벤션
418,상설시장,상설시장
419,중식,중식
420,일반축제,일반축제
421,바/까페,바/까페
422,한식,한식
423,사찰,사찰
424,유적지/사적지,유적지/사적지
425,한식,한식
426,산,국립공원
427,바/까페,바/까페
428,한식,한식
429,트래킹,트래킹
430,일반축제,일반축제
431,일반축제,일반축제
432,한식,한식
433,펜션,펜션
434,스케이트,스케이트
435,모텔,모텔
436,"야영장,오토캠핑장","야영장,오토캠핑장"
437,전문상가,전문상가
438,한식,한식
439,트래킹,트래킹
440,골프,골프
441,한식,한식
442,바/까페,바/까페
443,한식,한식
444,유적지/사적지,유적지/사적지
445,한식,한식
446,일반축제,일반축제
447,민물낚시,민물낚시
448,바/까페,바/까페
449,승마,승마
450,사찰,사찰
451,골프,골프
452,유적지/사적지,기념탑/기념비/전망대
453,한식,한식
454,한식,한식
455,"야영장,오토캠핑장","야영장,오토캠핑장"
456,전문상가,전문상가
457,강,강
458,한식,한식
459,일반축제,기타행사
460,"야영장,오토캠핑장","야영장,오토캠핑장"
461,한식,한식
462,한식,한식
463,모텔,모텔
464,한식,한식
465,"야영장,오토캠핑장","야영장,오토캠핑장"
466,섬,섬
467,농.산.어촌 체험,농.산.어촌 체험
468,한식,한식
469,일식,일식
470,모텔,모텔
471,유명건물,유명건물
472,기암괴석,기암괴석
473,유명건물,유명건물
474,유명건물,유명건물
475,계곡,계곡
476,중식,중식
477,한식,한식
478,서양식,서양식
479,한식,한식
480,전시관,전시관
481,펜션,펜션
482,관광단지,관광단지
483,한식,한식
484,유원지,유원지
485,농.산.어촌 체험,농.산.어촌 체험
486,유적지/사적지,기념탑/기념비/전망대
487,썰매장,썰매장
488,일반축제,일반축제
489,사찰,사찰
490,농.산.어촌 체험,산
491,펜션,펜션
492,유원지,유원지
493,"야영장,오토캠핑장","야영장,오토캠핑장"
494,썰매장,썰매장
495,바/까페,바/까페
496,"야영장,오토캠핑장","야영장,오토캠핑장"
497,유적지/사적지,유적지/사적지
498,한식,한식
499,한식,한식
500,상설시장,상설시장
501,서양식,서양식
502,강,자연생태관광지
503,한식,한식
504,관광단지,관광단지
505,산,산
506,산,산
507,한식,한식
508,헹글라이딩/패러글라이딩,헹글라이딩/패러글라이딩
509,중식,중식
510,골프,골프
511,전시관,컨벤션센터
512,상설시장,상설시장
513,종교성지,종교성지
514,한식,한식
515,전문상가,대형서점
516,기념탑/기념비/전망대,기념탑/기념비/전망대
517,"야영장,오토캠핑장","야영장,오토캠핑장"
518,한식,한식
519,사찰,사찰
520,일반축제,일반축제
521,일식,일식
522,펜션,펜션
523,도서관,도서관
524,사찰,사찰
525,동상,동상
526,"야영장,오토캠핑장","야영장,오토캠핑장"
527,한식,한식
528,유원지,이색거리
529,"야영장,오토캠핑장","야영장,오토캠핑장"
530,한식,한식
531,"야영장,오토캠핑장","야영장,오토캠핑장"
532,수련시설,이색거리
533,전문상가,전문상가
534,일반축제,일반축제
535,중식,중식
536,"야영장,오토캠핑장","야영장,오토캠핑장"
537,펜션,펜션
538,패밀리레스토랑,패밀리레스토랑
539,산,산
540,민박,농.산.어촌 체험
541,자연생태관광지,자연생태관광지
542,서양식,서양식
543,한식,한식
544,폭포,폭포
545,도서관,도서관
546,한식,한식
547,모텔,모텔
548,"야영장,오토캠핑장","야영장,오토캠핑장"
549,한식,한식
550,공원,공원
551,박물관,박물관
552,한식,한식
553,한식,한식
554,민속마을,이색거리
555,기타,기타
556,미술관/화랑,미술관/화랑
557,고택,고택
558,한식,한식
559,"야영장,오토캠핑장","야영장,오토캠핑장"
560,전문상가,전문상가
561,자연생태관광지,자연생태관광지
562,강,강
563,사찰,사찰
564,"야영장,오토캠핑장","야영장,오토캠핑장"
565,"야영장,오토캠핑장","야영장,오토캠핑장"
566,"야영장,오토캠핑장","야영장,오토캠핑장"
567,펜션,펜션
568,한식,일식
569,사찰,사찰
570,종교성지,종교성지
571,한식,한식
572,"야영장,오토캠핑장","야영장,오토캠핑장"
573,한식,한식
574,중식,중식
575,기타,기타
576,한식,한식
577,사찰,사찰
578,한식,한식
579,민물낚시,민물낚시
580,"야영장,오토캠핑장","야영장,오토캠핑장"
581,한식,한식
582,한식,한식
583,펜션,펜션
584,유스호스텔,유스호스텔
585,"야영장,오토캠핑장","야영장,오토캠핑장"
586,"야영장,오토캠핑장","야영장,오토캠핑장"
587,전문상가,전문상가
588,일반축제,일반축제
589,바/까페,바/까페
590,기타,기타
591,일반축제,일반축제
592,"야영장,오토캠핑장","야영장,오토캠핑장"
593,바/까페,바/까페
594,골프,골프
595,모텔,모텔
596,문화원,문화원
597,계곡,계곡
598,한식,한식
599,자연생태관광지,자연생태관광지
600,유적지/사적지,유적지/사적지
601,이색거리,한식
602,모텔,모텔
603,기념관,유적지/사적지
604,유적지/사적지,유적지/사적지
605,일반축제,일반축제
606,공원,공원
607,해수욕장,해수욕장
608,서양식,서양식
609,5일장,5일장
610,중식,중식
611,한식,한식
612,사찰,사찰
613,한식,한식
614,바/까페,바/까페
615,바/까페,바/까페
616,"야영장,오토캠핑장","야영장,오토캠핑장"
617,유적지/사적지,유적지/사적지
618,농.산.어촌 체험,농.산.어촌 체험
619,사찰,사찰
620,"야영장,오토캠핑장","야영장,오토캠핑장"
621,공원,공원
622,바/까페,바/까페
623,한식,한식
624,한식,한식
625,자연생태관광지,자연생태관광지
626,한식,한식
627,5일장,5일장
628,관광단지,콘도미니엄
629,트래킹,트래킹
630,한식,한식
631,한식,한식
632,한식,한식
633,사찰,사찰
634,한옥스테이,한옥스테이
635,"야영장,오토캠핑장","야영장,오토캠핑장"
636,이색거리,박물관
637,한식,한식
638,한식,한식
639,박물관,박물관
640,자연생태관광지,자연생태관광지
641,일식,한식
642,스케이트,스케이트
643,해수욕장,해수욕장
644,한식,한식
645,기암괴석,기암괴석
646,도서관,도서관
647,해안절경,산
648,골프,골프
649,한식,한식
650,자연생태관광지,자연생태관광지
651,기념탑/기념비/전망대,기념탑/기념비/전망대
652,유원지,공원
653,한식,한식
654,바다낚시,바다낚시
655,희귀동.식물,희귀동.식물
656,농.산.어촌 체험,농.산.어촌 체험
657,고궁,고궁
658,박물관,박물관
659,한식,한식
660,항구/포구,항구/포구
661,한식,한식
662,한식,한식
663,민박,민박
664,바/까페,바/까페
665,"야영장,오토캠핑장","야영장,오토캠핑장"
666,"야영장,오토캠핑장","야영장,오토캠핑장"
667,한옥스테이,한옥스테이
668,사찰,사찰
669,일반축제,일반축제
670,기타,콘도미니엄
671,공연장,공연장
672,공원,자연생태관광지
673,한옥스테이,한옥스테이
674,펜션,펜션
675,트래킹,트래킹
676,유명건물,유명건물
677,공연장,공연장
678,"야영장,오토캠핑장","야영장,오토캠핑장"
679,공원,공원
680,유원지,유원지
681,한식,한식
682,국립공원,국립공원
683,한식,한식
684,해수욕장,해수욕장
685,한식,한식
686,"야영장,오토캠핑장","야영장,오토캠핑장"
687,한식,한식
688,유명건물,유명건물
689,펜션,펜션
690,전시관,전시관
691,"공예,공방","공예,공방"
692,농.산.어촌 체험,농.산.어촌 체험
693,"야영장,오토캠핑장","야영장,오토캠핑장"
694,일반축제,일반축제
695,모텔,모텔
696,해수욕장,해수욕장
697,중식,중식
698,골프,골프
699,다리/대교,다리/대교
700,일식,일식
701,바/까페,바/까페
702,산,산
703,한식,한식
704,등대,등대
705,한식,한식
706,상설시장,상설시장
707,이색거리,테마공원
708,한식,한식
709,한식,한식
710,박물관,박물관
711,일반축제,일반축제
712,일반축제,일반축제
713,바/까페,바/까페
714,온천/욕장/스파,온천/욕장/스파
715,한식,한식
716,박물관,박물관
717,산,산
718,펜션,펜션
719,"야영장,오토캠핑장","야영장,오토캠핑장"
720,민속마을,"공예,공방"
721,펜션,펜션
722,한식,한식
723,한식,한식
724,안보관광,종교성지
725,"야영장,오토캠핑장","야영장,오토캠핑장"
726,유원지,유원지
727,펜션,펜션
728,해수욕장,해수욕장
729,공원,공원
730,농.산.어촌 체험,농.산.어촌 체험
731,한식,한식
732,한식,한식
733,한식,한식
734,한식,한식
735,"야영장,오토캠핑장","야영장,오토캠핑장"
736,모텔,모텔
737,사찰,사찰
738,전시관,전시관
739,자연생태관광지,자연생태관광지
740,"야영장,오토캠핑장","야영장,오토캠핑장"
741,미술관/화랑,미술관/화랑
742,펜션,펜션
743,민물낚시,민물낚시
744,"야영장,오토캠핑장","야영장,오토캠핑장"
745,수목원,수목원
746,한식,한식
747,바/까페,바/까페
748,펜션,펜션
749,트래킹,트래킹
750,바/까페,바/까페
751,"야영장,오토캠핑장","야영장,오토캠핑장"
752,한식,한식
753,산,산
754,미술관/화랑,미술관/화랑
755,한식,한식
756,"야영장,오토캠핑장","야영장,오토캠핑장"
757,농.산.어촌 체험,농.산.어촌 체험
758,강,강
759,산,산
760,기념탑/기념비/전망대,유적지/사적지
761,상설시장,상설시장
762,한식,한식
763,일반축제,일반축제
764,일반축제,이색거리
765,한옥스테이,한옥스테이
766,상설시장,상설시장
767,유적지/사적지,유적지/사적지
768,계곡,계곡
769,기타행사,기타행사
770,미술관/화랑,미술관/화랑
771,한식,한식
772,바/까페,바/까페
773,사찰,사찰
774,한식,한식
775,유명건물,유명건물
776,온천/욕장/스파,온천/욕장/스파
777,자연생태관광지,이색거리
778,사찰,사찰
779,한식,한식
780,중식,중식
781,특산물판매점,특산물판매점
782,강,강
783,"야영장,오토캠핑장","야영장,오토캠핑장"
784,"야영장,오토캠핑장","야영장,오토캠핑장"
785,상설시장,상설시장
786,윈드서핑/제트스키,윈드서핑/제트스키
787,"야영장,오토캠핑장","야영장,오토캠핑장"
788,박물관,박물관
789,면세점,면세점
790,한식,한식
791,한식,한식
792,도서관,도서관
793,고택,고택
794,종교성지,종교성지
795,일식,일식
796,한식,한식
797,일반축제,일반축제
798,이색거리,이색거리
799,한식,한식
800,유명건물,유명건물
801,박물관,박물관
802,해수욕장,해수욕장
803,사찰,사찰
804,사찰,사찰
805,바/까페,바/까페
806,유적지/사적지,유적지/사적지
807,사찰,사찰
808,일반축제,일반축제
809,유원지,유원지
810,민물낚시,민물낚시
811,미술관/화랑,미술관/화랑
812,농.산.어촌 체험,농.산.어촌 체험
813,한식,한식
814,바/까페,바/까페
815,호수,호수
816,한식,한식
817,"야영장,오토캠핑장","야영장,오토캠핑장"
818,바/까페,바/까페
819,일반축제,일반축제
820,한식,한식
821,해수욕장,한식
822,민속마을,이색거리
823,한식,한식
824,"야영장,오토캠핑장","야영장,오토캠핑장"
825,박물관,박물관
826,유적지/사적지,유적지/사적지
827,트래킹,트래킹
828,자동차경주,자동차경주
829,한식,한식
830,일반축제,일반축제
831,한식,한식
832,골프,골프
833,전시관,전시관
834,헬스투어,헬스투어
835,공연장,공연장
836,일반축제,일반축제
837,바/까페,바/까페
838,자연생태관광지,기암괴석
839,종교성지,종교성지
840,일식,한식
841,패밀리레스토랑,패밀리레스토랑
842,모텔,모텔
843,트래킹,트래킹
844,사찰,사찰
845,사찰,사찰
846,"야영장,오토캠핑장","야영장,오토캠핑장"
847,일반축제,일반축제
848,바/까페,바/까페
849,한식,한식
850,사찰,사찰
851,테마공원,테마공원
852,테마공원,스노쿨링/스킨스쿠버다이빙
853,항구/포구,항구/포구
854,해수욕장,해수욕장
855,바/까페,바/까페
856,모텔,모텔
857,공원,공원
858,고택,고택
859,미술관/화랑,미술관/화랑
860,바/까페,바/까페
861,해안절경,해안절경
862,패밀리레스토랑,패밀리레스토랑
863,문화전수시설,문화전수시설
864,"공예,공방","공예,공방"
865,한식,한식
866,펜션,펜션
867,공원,공원
868,기타,기타
869,이색거리,이색거리
870,유적지/사적지,유적지/사적지
871,펜션,펜션
872,산,산
873,한식,한식
874,이색거리,이색거리
875,한식,한식
876,"야영장,오토캠핑장","야영장,오토캠핑장"
877,중식,중식
878,"야영장,오토캠핑장","야영장,오토캠핑장"
879,미술관/화랑,컨벤션
880,한옥스테이,한옥스테이
881,한식,한식
882,유원지,유원지
883,해수욕장,해수욕장
884,한옥스테이,한옥스테이
885,상설시장,상설시장
886,골프,골프
887,성,성
888,한식,한식
889,국립공원,국립공원
890,기암괴석,기암괴석
891,채식전문점,채식전문점
892,펜션,펜션
893,모텔,모텔
894,바/까페,바/까페
895,한식,한식
896,"야영장,오토캠핑장","야영장,오토캠핑장"
897,일반축제,일반축제
898,유적지/사적지,유적지/사적지
899,한식,한식
900,한식,한식
901,게스트하우스,게스트하우스
902,바/까페,서양식
903,공원,공원
904,해수욕장,해수욕장
905,민물낚시,민물낚시
906,온천/욕장/스파,온천/욕장/스파
907,모텔,모텔
908,한식,한식
909,일반축제,일반축제
910,펜션,펜션
911,사찰,사찰
912,한식,한식
913,모텔,모텔
914,한식,한식
915,유원지,유원지
916,사찰,사찰
917,5일장,5일장
918,한식,한식
919,바/까페,바/까페
920,문화원,이색거리
921,이색거리,이색거리
922,"야영장,오토캠핑장","야영장,오토캠핑장"
923,모텔,모텔
924,한식,한식
925,계곡,계곡
926,민박,민박
927,"야영장,오토캠핑장","야영장,오토캠핑장"
928,유원지,유원지
929,유적지/사적지,유적지/사적지
930,서양식,서양식
931,유명건물,유명건물
932,골프,골프
933,상설시장,상설시장
934,한식,한식
935,유원지,기념탑/기념비/전망대
936,산,산
937,동굴,동굴
938,자연생태관광지,자연생태관광지
939,자동차경주,자동차경주
940,한식,한식
941,일반축제,일반축제
942,수련시설,수련시설
943,기념탑/기념비/전망대,기념탑/기념비/전망대
944,트래킹,트래킹
945,농.산.어촌 체험,농.산.어촌 체험
946,관광단지,관광단지
947,일반축제,일반축제
948,한식,한식
949,바/까페,바/까페
950,"야영장,오토캠핑장","야영장,오토캠핑장"
951,"야영장,오토캠핑장","야영장,오토캠핑장"
952,일식,일식
953,이색거리,이색거리
954,바/까페,바/까페
955,"야영장,오토캠핑장","야영장,오토캠핑장"
956,한식,한식
957,게스트하우스,게스트하우스
958,한식,한식
959,농.산.어촌 체험,농.산.어촌 체험
960,한식,한식
961,한식,한식
962,"야영장,오토캠핑장","야영장,오토캠핑장"
963,미술관/화랑,미술관/화랑
964,트래킹,트래킹
965,한식,한식
966,게스트하우스,게스트하우스
967,한식,한식
968,트래킹,트래킹
969,일반축제,일반축제
970,한식,한식
971,한식,한식
972,한식,한식
973,기념관,기념관
974,한식,한식
975,한식,한식
976,계곡,계곡
977,공연장,문화전수시설
978,자연생태관광지,자연생태관광지
979,한식,한식
980,이색거리,이색거리
981,"야영장,오토캠핑장","야영장,오토캠핑장"
982,전시관,전시관
983,일식,일식
984,한식,한식
985,박물관,박물관
986,관광단지,관광단지
987,수련시설,수련시설
988,한식,한식
989,"야영장,오토캠핑장",기타
990,"야영장,오토캠핑장","야영장,오토캠핑장"
991,이색거리,이색거리
992,자연생태관광지,자연생태관광지
993,게스트하우스,게스트하우스
994,중식,중식
995,바/까페,바/까페
996,한식,한식
997,"야영장,오토캠핑장","야영장,오토캠핑장"
998,사찰,사찰
999,공원,공원
1000,한식,한식
1001,한식,한식
1002,한식,한식
1003,전문상가,전문상가
1004,모텔,모텔
1005,공원,공원
1006,일반축제,일반축제
1007,유적지/사적지,유적지/사적지
1008,"야영장,오토캠핑장","야영장,오토캠핑장"
1009,"야영장,오토캠핑장","야영장,오토캠핑장"
1010,서양식,서양식
1011,모텔,펜션
1012,"야영장,오토캠핑장","야영장,오토캠핑장"
1013,한식,한식
1014,콘도미니엄,콘도미니엄
1015,산,산
1016,한옥스테이,모텔
1017,한식,한식
1018,채식전문점,패밀리레스토랑
1019,공연장,공연장
1020,관광단지,테마공원
1021,바/까페,바/까페
1022,한식,한식
1023,유적지/사적지,유적지/사적지
1024,한식,한식
1025,한식,한식
1026,사찰,사찰
1027,전시관,전시관
1028,"야영장,오토캠핑장","야영장,오토캠핑장"
1029,사찰,사찰
1030,바/까페,바/까페
1031,이색거리,이색거리
1032,스키(보드) 렌탈샵,스키(보드) 렌탈샵
1033,자연생태관광지,자연생태관광지
1034,농.산.어촌 체험,산
1035,펜션,펜션
1036,민박,민박
1037,특산물판매점,특산물판매점
1038,서양식,서양식
1039,유적지/사적지,유적지/사적지
1040,한식,한식
1041,해수욕장,해수욕장
1042,농.산.어촌 체험,농.산.어촌 체험
1043,박물관,박물관
1044,강,강
1045,펜션,펜션
1046,유적지/사적지,유적지/사적지
1047,농.산.어촌 체험,농.산.어촌 체험
1048,일반축제,일반축제
1049,이색거리,이색거리
1050,컨벤션센터,컨벤션센터
1051,트래킹,트래킹
1052,일반축제,일반축제
1053,패밀리레스토랑,서양식
1054,유적지/사적지,유적지/사적지
1055,상설시장,이색거리
1056,한식,한식
1057,약수터,약수터
1058,자연휴양림,자연휴양림
1059,모텔,모텔
1060,미술관/화랑,미술관/화랑
1061,"야영장,오토캠핑장","야영장,오토캠핑장"
1062,바/까페,바/까페
1063,"야영장,오토캠핑장","야영장,오토캠핑장"
1064,펜션,펜션
1065,"야영장,오토캠핑장",자연휴양림
1066,상설시장,상설시장
1067,사찰,사찰
1068,공원,기념탑/기념비/전망대
1069,골프,골프
1070,한식,한식
1071,한옥스테이,한옥스테이
1072,서양식,서양식
1073,동상,동상
1074,유적지/사적지,유적지/사적지
1075,이색거리,이색거리
